created_at	comment_count	repost_count	text
2012-12-6 8:59:22	51	106	【山寨退潮国产品牌手机转运】深圳华强北大量手机企业已经关门走人，也许是对市场竞争过于乐观，让这一次的“山寨退潮”来得如此之快。有运营商补贴的品牌手机在价格上往往比山寨机更便宜，并且很多人更倾向于选择具有品牌的手机。国产手机或许正在告别只拼价格的时代。http://t.cn/zjMpSIv
2012-12-6 4:32:06	45	179	欧盟反垄断机构周三宣布，对飞利浦、LG电子、三星SDI等6家公司处以14.7亿欧元罚款，指其在近10年时间里操纵电视机和显示器阴极射线管的价格。其中，飞利浦被罚3.134亿欧元，LG被罚2.956亿，松下被罚1.575亿，三星SDI被罚1.508亿，东芝被罚2800万。飞利浦随后表示，拟对此上诉。http://t.cn/zjMWxAk
2012-12-5 13:52:34	152	317	【Lumia 920T售价4599元，年内上市】诺基亚联合中移动正式发布了支持TD-SCDMA网络的WP8智能手机Lumia 920T，售价4599元，将于今年内上市。该机采用4.5英寸屏幕，1.5GHz双核处理器，共有红、黄、白、黑四种颜色。年内消费者可在包括诺基亚专卖店、苏宁、国美、京东等多渠道购买。http://t.cn/zjMzoGo
2012-12-5 17:56:47	60	312	【《时代》2012十大移动应用】美国《时代》周刊今天评选出2012年十大移动应用，办公软件OnLive Desktop位居首位，Flipboard、SwiftKey、Paper、Chrome和Instagram等著名应用也都榜上有名。http://t.cn/zjMqYJg
2012-12-5 21:17:46	61	230	【苏宁试水金融业务】苏宁电器晚间发布公告称，成立苏宁小贷公司，主要面向小微企业融资。此前，苏宁已经拥有预付卡发行/受理、互联网支付/第三方支付等金融服务业务。阿里巴巴2007年开展小企业融资领域业务，京东也在今年11月推出供应链金融服务平台。http://t.cn/zjMxEsS
2012-12-6 11:24:56	59	38	索尼将推出Xperia E低端机型，有单卡、双卡两个型号可供选择，配备3.5寸320x480分辨率屏幕，1500mAh电池，搭载1GHz单核处理器，运行安卓4.1系统，明年1月份上市，目前还未公布售价。http://t.cn/zjMuYvH
2012-12-6 8:20:14	43	98	【中移动互联网战略】在面对移动互联网时代，中国移动已表达出一副完全新思维的姿态，中国移动总裁李跃为此喊出了“创业布局”的新战略思路，而业内瞩目的建立互联网公司、打造自有品牌的终端等，都是这个战略的具体实施过程。(康钊) http://t.cn/zjMNJb7
2012-12-4 22:51:35	378	388	【新闻排行榜】苹果iPhone 5定价招来非议。由于iPhone 5在中国内地的上市价格要高于之前iPhone 4和iPhone 4S，且高于在美国、香港等多数国家和地区的定价，引发了很多内地消费者的不满。16G版在美国的售价约合4037元人民币，比中国内地低1200多元。http://t.cn/zjI0JUp
2012-12-6 8:40:17	34	90	【电商大战中场盘点】大手笔的广告投放、频繁的价格战，让电商们处于“烧钱会死，不烧钱死得更快”的恶性循环。每次电商大战巨大的交易额并不能掩饰电商不赚钱的现实，相比之下，电商周边行业则会赚更高的利润。电商大战造就了一个庞大的生态系统，这和苹果的生态系统类似。http://t.cn/zjMpJv1
2012-12-4 16:30:20	206	1171	【@亚马逊 最大物流中心揭秘：庞大如迷宫】亚马逊是全球最大的网络零售商，在全球拥有80个物流中心，其中规模最大的物流中心位于美国亚利桑那州首府凤凰城，有28个足球场那么大。http://t.cn/zjI5158
