created_at	comment_count	repost_count	text
2012-12-6 13:59:29	26	28	台湾媒体称HTC将再推出一款代号为M7的高端手机，配备1080p屏幕，采取铝制一体成型外壳，搭载1.5GHz四核处理器，2GB RAM，1300万像素摄像头，运行安卓4.2系统，支持无线充电，据传最快将在明年的MWC大会上现身。http://t.cn/zjMHgXX
2012-12-6 12:00:25	112	339	【一张照片引发的杯具】在长达三周的东躲西藏后，涉嫌谋杀的McAfee创始人麦克菲在危地马拉被警方逮捕。警方是怎么找到他的？原来，麦克菲不久前接受了一家非主流杂志的采访，他的一张照片被发到了网上。警方在照片信息中发现了他的位置：北纬15°39’29.4”，西经88°59’31.8”……http://t.cn/zjM3rKS
2012-12-6 13:29:01	16	37	【Facebook将“订阅”功能改名为“关注”】为了让用户不再感到困惑，Facebook决定将“订阅”(Subscribe)功能改名为“关注”(Follow)。Twitter此前一直在使用“关注”的说法。Facebook一年前推出了“订阅”功能，让用户可以了解非好友用户的内容更新。http://t.cn/zjMm7zo
2012-12-6 13:00:47	18	11	【Lumia 920视频评测-By 王自如】来自著名评测人王自如对Lumia 920的评测。Lumia 920配备高通S4 1.5GHz双核处理器，1G RAM，32G ROM，870万像素纯景摄像头，2000mAh电池，支持NFC。官方定价4599元。 http://t.cn/zjMoGTZ
2012-12-6 13:24:47	5	6	【互联网监管战打响】互联网在没有国际监督的情况下兴旺发达。现在，一家联合国机构可能要寻求更多的控制。国际电信联盟的193个成员国将对是否开始监管互联网进行讨论。欧洲电信运营商想让大型内容提供商为他们发送的数据付费。而有Facebook、谷歌等内容提供商的美国则反对这点。http://t.cn/zjMSSs1
2012-12-6 11:47:42	62	57	【佳能加速扩张中国市场】“中国是佳能最重要的市场。”佳能中国CEO小泽秀树如是说。他计划在未来5年内，将中国市场的年销售额从目前的30亿美元提升至100亿美元。到本月底，佳能将把中国的办事处从去年的21个增加到32个。http://t.cn/zjM3VnD
2012-12-6 13:10:20	7	15	【电商陷价格战恶性循环:烧钱会死 不烧钱死得更快】业内人士指出，大手笔的广告投放、频繁的价格战，让电商们处于“烧钱会死，不烧钱死得更快”的恶性循环。因此，每次电商大战巨大的交易额并不能掩饰电商不赚钱的现实，相比之下，电商周边行业，则会赚更高的利润。http://t.cn/zjMY6qg
2012-12-6 13:47:42	2	3	【全球最有影响力人物“亿里挑一” 李彦宏连续三年成唯一内地企业家代表 】福布斯公布2012“全球最有影响力人物”，微软创始人盖茨、Facebook扎克伯格等榜上有名。榜单以71位人物对应全球71亿人口，被称“亿里挑一”。百度CEO李彦宏成为2010年以来连续三年唯一上榜内地企业家。http://t.cn/zjMDqgv
2012-12-6 12:32:00	9	21	【听，iDoNews业内人说：诺基亚自食苦果 1.7亿欧元卖掉芬兰总部】by@吴越春秋-真相和故乡 ：放弃自主Symbian系统后，诺基亚就变成一个纯粹的手机生产商，面临Android和iOS的双重包围，明知要面对三星全方位的竞争，却还是独选最不成熟且收费的WP系统，真是烧钱且浪费时机的自虐。http://t.cn/zjMrQNf
2012-12-6 13:43:37	1	4	【营业厅改革：外包的“困惑”】随着整个电信行业的发展，运营商跑马圈地式地大规模发展客户已经成为过去时。现在，被三大运营商所高度重视的营业厅正在进行一场大刀破斧的优化升级工作。而运营商所做的一切就是为了在移动互联时代“站稳脚跟”。B http://t.cn/zjMD92t
