created_at	comment_count	repost_count	text
2012-11-9 14:35:17	10	21	【国家制造产业战略必不可少】 美国经济的健康发展有赖于支持先进制造业复兴的联邦计划。美国的制造业正处于困境，技术创新，特别是制造工艺技术领域的创新，对刺激制造业复兴起到关键作用，但如果没有一个连贯且资金充足的国家制造技术战略的支持，这些创新是不会大量出现的。http://t.cn/zjPU5Qp
2012-11-9 9:48:22	7	22	【用智能手机数据防止传染病爆发】去年登革热在巴基斯坦拉合尔大爆发，1万6千人染病，352人死亡。而今年只有234个确诊病例，无人死亡。这部分归功于一个新系统的运行。该系统能追踪并预测地区疾病的爆发情况。而政府工作人员会立刻进入预测爆发疾病的地区，消灭携带登革热的孑孓http://t.cn/zjvkQCa
2012-11-9 9:26:39	21	51	【苹果的研发经费还能维持创新吗？】1998年，乔布斯说：“创新和你在研发上的花费没有关系。”为了证明这点，他关闭了苹果公司的长期研究实验室。很少有大公司在研发上的投入比苹果更吝啬。苹果只关注产品的研发和改进，而缺少基础研究部门。现在，苹果正面对创新的压力。http://t.cn/zjvD8BZ
2012-11-8 21:32:53	14	55	【新“希尔伯特难题”】我们需要更好地理解现代社会及其所强烈依赖的金融和经济制度的本质，但究竟如何做到这一点，也没人能提供答案。一位来自瑞士的研究者认为，列举出经济和社会领域所面临的重大难题，也许会有助于问题的解决，比如，创新如何产生？http://t.cn/zjvWsqD
2012-11-8 10:20:55	23	63	【软件设计：制造业的未来】软件公司Autodesk出品的3D设计软件正被从自动化制造业巨头到好莱坞工作室广泛使用。数字化工具无疑已在车间内发挥重要作用，让制造商接受更灵活的策略，生产定制化程度更高的产品。图中这台10英尺高的涡轮螺旋桨发动机的所有零件都由3D打印机注塑而成http://t.cn/zlr6yl1
2012-11-7 14:56:07	25	109	【奥巴马连任将更有利于新能源科技的发展】相比罗姆尼，奥巴马支持为新技术创造市场的策略。他赞成清洁能源标准，燃料经济标准，以及美国环境保护局对二氧化碳排放的规定，这些都会为新技术创造市场，从太阳能电池板、高效引擎，到重工气体减排技术。附上TR数周前的文章，供参考：http://t.cn/zWs3cYj
2012-11-7 12:47:17	10	15	【电子投票机为什么不靠谱】昨天我们刚说过在美国，网络投票不靠谱。其实，就连投票站的电子投票机都不靠谱了...计算机化的投票技术很容易出现软件故障，而无纸化的投票过程甚至让人无法发现故障的存在。在摇摆州，很小的错误就可能影响最后的大选结果。http://t.cn/zlsIdSD
2012-11-6 10:32:32	3	29	【找到大脑连接图】人脑中有1千亿个神经元，彼此形成复杂的连接。搞清楚所有连接对理解大脑很重要，新学科“连接组学”就是做这个。之前科学家通过染色等视觉方法找到连接。而冷泉港的科学家发现更聪明的方法:把DNA条码转入病毒，并让病毒随着神经元突触转移，利用测序来发现连接http://t.cn/zlkD9fH
2012-11-6 9:49:00	8	41	【网上投票为什么不靠谱】美国大选已接近尾声。有趣的是，在互联网革命的起源地美国，公民却不能在网上投票。这是为什么呢？因为安全性、精确度和匿名性（这点和电子银行很不同）的问题还无法被彻底解决。“你会把高压电线连在你的烤面包机上吗？建立网上投票系统就跟这差不多。”http://t.cn/zlFGQa1
2012-11-5 19:39:39	11	37	【冲破声音之墙】科技可能会导致人们越来越愿意走出家门到现场聆听音乐会。一个世纪以来，音乐领域的技术和数字化革命，同时也在悄无声息地强化着音乐的社会化功能。科技当然有用，也能带来方便，但最终它还是会降低自己的价值，抬高那些它从未捕捉到或从未展现出来的东西的价值。http://t.cn/zldI9Ty
