created_at	comment_count	repost_count	text
2012-12-4 13:03:45	360	2695	【互联网女皇2012报告出炉】KPCB合伙人玛丽·米克发布2012年趋势报告称：1、移动设备占全球上网流量的13%，2010年同期仅为4%；2、2012年全球APP+移动广告营收预计为190亿美元，67%来自APP，33%来自广告；预计明年第二季，全球智能手机+平板保有量将超过PC。请猛戳(88张PPT图片)：http://t.cn/zjIAUZr
2012-12-4 10:03:15	884	1770	【消费者不满iPhone 5大陆定价高】苹果公布的iPhone 5内地价格显示，16GB版5288元、32GB版6088元、64GB版6888元，与之前4/4S上市价格相比贵不少。且高于在美国、香港等多数国家和地区的定价，如16G版iPhone 5美国售价比中国内地低了1200多元，高价格引发很多内地消费者的不满。http://t.cn/zjfD2Oc
2012-12-5 8:26:51	652	1766	【我国3G速率不足日韩十分之一】UMNet移动网络质量评估平台发布的“2012年10月份全国3G用户体验速率数据报告”显示，我国平均3G感知速率为52.51KB/s，其中，中国联通为55.04KB/s；中国电信为49.67KB/s；中国移动为28.26KB/s。而日本和韩国3G网络平均速率已达1400KB/s。http://t.cn/zjImnf3
2012-12-4 20:43:47	442	1692	【诺基亚变卖总部大楼】诺基亚以2.2亿美元将位于芬兰的总部大楼出售，之后回租该总部办公。诺基亚CFO表示：“拥有不动产并非诺基亚核心业务，公司愿意放弃这些非核心资产。”今年第三财季，诺基亚运营亏损7.5亿美元，净营收为95亿美元。http://t.cn/zjIiRWC
2012-12-4 3:48:19	110	1473	【携号转网试点渐遭淡忘】海南电信和海南联通于11月份相继更换总经理，已引发人们对携号转网政策的思考，这个已实施近两年的政策不但没有改变海南通信业的格局，反而日益被遗忘，而其根源在于申请携号转网的成功概率太低，导致愿意再申请的用户越来越少。(康钊) http://t.cn/zjf32Xl
2012-12-4 9:47:39	116	1443	【LG手机在华裁员】上周开始，LG电子手机业务在全国的26个办事处已陆续有员工接到即将离职的通知，由于在3G时代智能机战略失误、产品研发落后于中国市场，LG电子在中国的手机业务已快走到山穷水尽的地步。(康钊)http://t.cn/zjf3qPX
2012-12-4 13:47:31	116	1373	知情人士透露，中国移动成立互联网公司只是时间问题。并且可能在12月5日召开中国移动开发者大会时披露，目前中国移动与互联网业务有关的是9个业务基地，有可能将设在广东的互联网基地先改制组成公司，再将其余八大基地并入其中。(康钊)http://t.cn/zjIhkq1
2012-11-30 9:26:19	531	886	今天，2012年中国互联网风云榜评选正式上线；今天，速途网微博发布量正式突破10000条；今天，我们也有奖品送出。转发评论本条微博，每隔50楼将会送一本速途网创始人@范锋 博士新作《中国网络企业商业模式创新》，20本送完为止。指点中国互联网风云，点击进入：http://t.cn/zjt0JOn
2012-12-4 16:30:20	206	1171	【@亚马逊 最大物流中心揭秘：庞大如迷宫】亚马逊是全球最大的网络零售商，在全球拥有80个物流中心，其中规模最大的物流中心位于美国亚利桑那州首府凤凰城，有28个足球场那么大。http://t.cn/zjI5158
2012-12-5 18:58:55	312	1004	【最便宜WP8手机来袭】诺基亚今日发布了Lumia 620手机，该手机采用3.8英寸800x480分辨率屏幕，采用1GHz双核处理器，配备500万像素摄像头，7种颜色可供选择。这款手机售价为249美元，约合人民币1550元，是目前最廉价的WP8智能手机。http://t.cn/zjM5l5c
